"Prijscomponenten";"Belastingen";"Perioden";"Aardgasprijs/Verbruiksklassen huishoudens/Minder dan 569 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen huishoudens/569 tot 5 687 m3 (euro per m3)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/Minder dan 1 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/1 tot 2,5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/2,5 tot 5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/5 tot 15 MWh (euro per kWh)"
"Totaalprijs";"Inclusief btw en belastingen";"2009 1e halfjaar";1,057;0,791;-0,103;0,144;0,198;0,216
"Totaalprijs";"Inclusief btw en belastingen";"2009 2e halfjaar";1,031;0,658;-0,117;0,136;0,19;0,209
"Totaalprijs";"Inclusief btw en belastingen";"2010 1e halfjaar";0,943;0,664;-0,142;0,12;0,177;0,196
"Totaalprijs";"Inclusief btw en belastingen";"2010 2e halfjaar";1,06;0,703;-0,131;0,125;0,179;0,197
"Totaalprijs";"Inclusief btw en belastingen";"2011 1e halfjaar";0,955;0,674;-0,123;0,128;0,18;0,196
"Totaalprijs";"Inclusief btw en belastingen";"2011 2e halfjaar";1,17;0,768;-0,126;0,127;0,18;0,197
"Totaalprijs";"Inclusief btw en belastingen";"2012 1e halfjaar";1,001;0,724;-0,116;0,134;0,185;0,2
"Totaalprijs";"Inclusief btw en belastingen";"2012 2e halfjaar";1,235;0,825;-0,131;0,134;0,187;0,201
"Totaalprijs";"Inclusief btw en belastingen";"2013 1e halfjaar";1,034;0,772;-0,11;0,14;0,19;0,204
"Totaalprijs";"Inclusief btw en belastingen";"2013 2e halfjaar";1,34;0,843;-0,119;0,139;0,191;0,204
"Totaalprijs";"Inclusief btw en belastingen";"2014 1e halfjaar";1,111;0,771;-0,161;0,125;0,184;0,201
"Totaalprijs";"Inclusief btw en belastingen";"2014 2e halfjaar";1,248;0,801;-0,169;0,12;0,18;0,199
"Totaalprijs";"Inclusief btw en belastingen";"2015 1e halfjaar";1,037;0,739;-0,025;0,156;0,199;0,209
"Totaalprijs";"Inclusief btw en belastingen";"2015 2e halfjaar";1,312;0,784;-0,096;0,135;0,184;0,199
"Totaalprijs";"Inclusief btw en belastingen";"2016 1e halfjaar";1,063;0,762;-0,11;0,114;0,162;0,175
"Totaalprijs";"Inclusief btw en belastingen";"2016 2e halfjaar";1,277;0,79;-0,106;0,112;0,159;0,173
"Totaalprijs";"Inclusief btw en belastingen";"2017 1e halfjaar";1,112;0,746;-0,117;0,106;0,156;0,173
"Totaalprijs";"Inclusief btw en belastingen";"2017 2e halfjaar";1,328;0,795;-0,118;0,105;0,156;0,173
"Totaalprijs";"Inclusief btw en belastingen";"2018 1e halfjaar";1,155;0,796;-0,026;0,126;0,171;0,185
"Totaalprijs";"Inclusief btw en belastingen";"2018 2e halfjaar";1,336;0,826;-0,097;0,108;0,162;0,184
"Totaalprijs";"Inclusief btw en belastingen";"2019 1e halfjaar";1,272;0,902;0,078;0,181;0,205;0,211
"Totaalprijs";"Inclusief btw en belastingen";"2019 2e halfjaar";1,484;0,943;0,095;0,182;0,205;0,21
"Totaalprijs";"Inclusief btw en belastingen";"2020 1e halfjaar";1,392;0,979;-0,222;0,066;0,147;0,187
"Totaalprijs";"Inclusief btw en belastingen";"2020 2e halfjaar";1,57;0,987;-0,274;0,049;0,136;0,179
"Totaalprijs";"Inclusief btw en belastingen";"2021 1e halfjaar";1,319;0,939;-0,282;0,038;0,128;0,174
"Totaalprijs";"Inclusief btw en belastingen";"2021 2e halfjaar";1,664;1,071;-0,272;0,055;0,145;0,19
"Totaalprijs";"Inclusief btw en belastingen";"2022 1e halfjaar";1,665;1,265;-0,652;-0,104;0,059;0,149
"Totaalprijs";"Inclusief btw en belastingen";"2022 2e halfjaar";2,204;1,938;-0,519;-0,007;0,156;0,25
"Totaalprijs";"Inclusief btw en belastingen";"2023 1e halfjaar*";2,534;2,396;0,107;0,374;0,466;0,509
"Totaalprijs";"Inclusief btw en belastingen";"2023 2e halfjaar*";2,112;1,54;-0,045;0,179;0,266;0,303
