"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2006";2,78
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2007";3,3
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2008";3,6
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2009";4,27
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2010";3,92
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2011";4,53
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2012";4,66
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2013";4,69
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2014";5,42
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2015";5,73
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2016";5,84
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2017";6,5
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2018";7,39
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2019";8,89
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2020";11,47
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2021 ";12,98
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2022 **";14,97
